date,pm25,pm10,no2,so2,co
2025-02-04,56.0,47.0,25.0,29.1,9.0
2025-02-05,76.0,80.0,25.0,29.1,9.0
2025-02-06,82.0,95.0,25.0,29.1,9.0
2025-02-07,99.0,110.0,25.0,29.1,9.0
2025-02-08,95.0,100.0,25.0,29.1,9.0
2025-02-09,106.0,100.0,50.0,29.1,9.0
2025-02-15,44.0,45.0,23.0,29.1,9.0
2025-02-16,52.0,50.0,30.0,29.1,9.0
2025-02-25,42.0,30.0,25.0,29.1,9.0
2025-02-26,17.0,20.0,26.0,29.1,9.0
2025-02-27,27.0,25.0,15.0,29.1,9.0
2025-04-01,17.0,20.0,11.0,29.1,9.0
2025-04-02,27.0,23.0,17.0,29.1,9.0
2025-04-03,28.0,29.0,17.0,29.1,9.0
2025-04-04,19.0,21.0,17.0,29.1,9.0
2025-04-05,10.0,15.0,17.0,29.1,9.0
2025-04-06,16.0,15.0,17.0,29.1,9.0
2025-04-07,13.0,10.0,17.0,29.1,9.0
2025-04-08,14.0,10.0,17.0,29.1,9.0
2025-04-09,13.0,11.0,17.0,29.1,9.0
2025-04-10,14.0,15.0,17.0,29.1,9.0
2025-04-15,9.0,8.0,17.0,29.1,9.0
2025-04-30,15.0,13.0,17.0,29.1,9.0
2025-06-01,8.0,12.0,10.0,29.1,9.0
2025-06-02,6.0,20.0,11.0,29.1,9.0
2025-06-03,7.0,21.0,12.0,29.1,9.0
2025-06-04,8.0,59.0,10.0,29.1,9.0
2025-06-05,5.0,45.0,10.0,29.1,9.0
2025-06-15,12.0,24.0,12.0,29.1,9.0
2025-06-16,9.0,12.0,9.0,29.1,9.0
2025-06-20,19.0,27.0,12.0,29.1,9.0
2025-06-21,14.0,32.0,12.0,29.1,9.0
2025-09-01,10.0,9.0,14.0,25.0,4.0
2025-09-02,8.0,8.0,10.0,25.0,5.0
2025-09-03,9.0,16.0,16.0,25.0,11.0
2025-09-04,10.0,30.0,17.0,25.0,1.0
2025-09-05,11.0,36.0,19.0,25.0,2.0
2025-09-06,18.0,22.0,17.0,25.0,6.0
2025-09-07,22.0,21.0,13.0,25.0,7.0
2025-09-08,15.0,21.0,13.0,25.0,6.0
2025-09-09,9.0,19.0,13.0,25.0,6.0
2025-09-10,10.0,15.0,13.0,25.0,6.0
2025-09-15,20.0,20.0,18.0,25.0,6.0
2025-09-20,16.0,20.0,20.0,25.0,6.0
2025-09-30,13.0,21.0,20.0,25.0,6.0
2025-11-01,12.0,7.0,27.0,10.0,1.0
2025-11-02,24.0,8.0,27.0,12.0,5.0
2025-11-03,22.0,7.0,27.0,15.0,2.0
2025-11-04,11.0,13.0,27.0,29.0,5.0
2025-11-15,46.0,41.0,28.5,12.0,4.0
2025-11-20,24.0,17.0,28.5,32.0,3.0
2025-11-21,31.0,13.0,28.5,12.0,1.0
2025-11-22,38.0,11.0,28.5,21.0,2.0
2025-11-23,50.0,20.0,28.5,21.0,3.0
2025-11-24,42.0,27.0,28.5,26.0,8.0
2025-11-25,43.0,30.0,28.5,30.0,3.0
2025-11-26,38.0,30.0,28.5,35.0,1.0
2025-11-27,23.0,27.0,29.0,38.0,9.0
2025-11-28,32.0,33.0,32.0,35.0,2.0
2025-11-29,50.0,31.0,31.0,33.0,2.0
2025-11-30,36.0,30.0,32.0,31.0,3.0
2025-12-01,60.0,20.0,16.0,45.0,1.0
2025-12-02,50.0,21.0,17.0,32.0,2.0
2025-12-03,94.0,30.0,10.0,25.0,3.0
